"Source:","F:\office\okra\okrasolar\svn\P-1000072_Cicada Wi-Fi\design\source\kicad\P-1000072_Cicada Wi-Fi.sch"
"Date:","11/22/2021 6:40:58 PM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","F:\office\okra\okrasolar\svn\okra_kicad_lib\scripts/OKRA_bom_csv_grouped_by_value_mpn_dnp.py"
"Component Count:","34"

"Collated Components:"

"Designator","Qty","DNP","Value","Description","Manufacturer","MPN","Footprint","SMT/THT","SOURCE","SRCPN","Alternate Manufacturer 1","Alternate MPN 1","Alternate Manufacturer 2","Alternate MPN 2"
"C1, C2, C21, C22, C24","5","","1000uF 10v","","Dongguan Chengxing Elec","GR108M010F12RR0VL4FP0","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","THT","lcsc","C3299","","","",""
"C3, C19","2","","100nF 16v X7R","","Guangdong Fenghua Advanced Tech","0603B104K500NT","Capacitor_SMD:C_0603_1608Metric","SMT","lcsc","C30926","","","",""
"C4, C20","2","","10uF 16v X7R","","Guangdong Fenghua Advanced Tech","0805B106K160NT","Capacitor_SMD:C_0805_2012Metric","SMT","lcsc","C92341","","","",""
"C6, C8, C14, C29","4","","100nF 10v X5R","","YAGEO","CC0402MRX5R6BB104","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C2171572","","","",""
"C9","1","","10uF 10v X5R","","YAGEO","CC0402MRX5R6BB106","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C962143","","","",""
"C16","1","","100pF C0G","","Guangdong Fenghua Advanced Tech","0402CG101J500NT","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C1546","","","",""
"H1, H2","2","DNP","MountingHole_Pad","","","","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad","N/A","","","","","",""
"J3","1","","Host","Generic 2x10 2.54mm Female","Boom Precision Elec","C30867","Cicada-footprints:PinSocket_2x08_P2.54mm_Vertical_padded","THT","lcsc","C30867","","","",""
"L2","1","","3.3uH 2A","","TAITEC","FPI0403F-3R3M","Cicada-footprints:L_4030_Handsoldering","SMT","lcsc","C304284","","","",""
"LOGO1","1","DNP","SYM_Hot_Small","","","","Cicada-footprints:okra_logo_copper_2","N/A","","","","","",""
"PCB1","1","DNP","WiFi Cicada PCB","","","","","N/A","","","","","",""
"R1, R7","2","","40.2k","1%,100ppm","UNI ROYAL","0402WGF4022TCE","Resistor_SMD:R_0402_1005Metric","SMT","lcsc","C25893","","","",""
"R4, R5, R11","3","","10K","1%, 100ppm","UNI-ROYAL","	0402WGF1002TCE","Resistor_SMD:R_0402_1005Metric","SMT","lcsc","","","","",""
"R6","1","","0R","5% 100ppm","UNI-ROYAL","0402WGJ0000TCE","Resistor_SMD:R_0402_1005Metric","SMT","lcsc","C21376","","","",""
"R8","1","","8.87k","1% 100ppm","UNI ROYAL","0402WGF8871TCE","Resistor_SMD:R_0402_1005Metric","SMT","lcsc","C36953","","","",""
"R9, R10","2","","22R","","UNI ROYAL","0402WGF220JTCE","Resistor_SMD:R_0402_1005Metric","SMT","lcsc","C25092","","","",""
"R12","1","","22.6K","1% 100ppm","UNI ROYAL","0402WGF2262TCE","Resistor_SMD:R_0402_1005Metric","SMT","lcsc","C26960","","","",""
"R13","1","DNP","340k","1% 100ppm","UNI ROYAL","0402WGF8662TCE","Resistor_SMD:R_0402_1005Metric","SMT","lcsc","C423187","","","",""
"U1","1","","HX3406","","	XI'AN Aerosemi Tech","HX3406","Package_TO_SOT_SMD:TSOT-23-5","SMT","lcsc","C83224","","","",""
"U3","1","","ESP-07S","","Ai-Thinker","ESP-07S","Cicada-footprints:ESP-07S","SMT","lcsc","C82895","","","",""
